 <LesHouchesEvents version="1.0">
 <header>
 ***********************************************
 ************** Superchic v4.03 ****************
 ***********************************************
 *  v4.03              DATE    15/03/21        *
 *                                             *
 *  Author: Lucian Harland-Lang                *
 *  (lucian.harland-lang@physics.ox.ac.uk      *
 *                                             *
 *  For details see :                          *
 *                                             *
 *  arXiv 2007.12704 (v4 updates)              *
 *  arXiv 1812.04886 (SUSY)                    *
 *  arXiv 1810.06567                           *
 *  arXiv 1508.02718                           *
 *  arXiv 1405.0018 (review)                   *
 *  arXiv 1005.0695 (quarkonia and diphoton    *
 *  arXiv 1011.0680 (quarkonia)                *
 *  arXiv 1105.1626 (meson pairs)              *
 *  arXiv 1302.2004 (meson pairs - eta/eta')   *
 *  arXiv 1306.6661 (Skewed PDF)               *
 *  arXiv 1306.2149 (Skewed PDF)               *
 *                                             *
 *  Available at :                             *
 *  http:://projects.hepforge.org/superchic    *
 *                                             *
 ***********************************************
 
 ************************************************************************
 * gamma gamma --> gamma gamma production
 ************************************************************************
 
 ********************  Input parameters *********************************
 *               5020.0000         :  CMS collision energy (GeV)
 *                       4         :  Model of soft survival
 *                    in13         :  input file
 *        MMHT2015qed_nnlo         :  PDF set
 *                      42         :  PDF member
 *                      59         :  Process number
 *              ext1.1.dat         :  Output file
 *                       T         :  Include soft survival effects
 ************************************************************************
 
 ********************* Integration parameters  **************************
 *                   40000         :  Preconditioning calls
 *                       1         :  Preconditioning iterations
 *                  0.0100         :  Percentage accuracy
 *                   10000         :  Calls in first main iteration
 *                   10000         :  Increase calls per iteration
 *                    1000         :  Maximum number of iterations
 *                       6         :  Random number seed
 ************************************************************************
 *                      16         : Survival factor integration par.
 ************************************************************************
 
 ********************* Unweighted Events  *******************************
 *                       T         :  Generate unweighted events
 *                    2000         :  Number of events
 *                     lhe         : Record format
 ************************************************************************
 
 ********************* General Cuts *************************************
 *                 -1.0000         :  Minimum object rapidity
 *                  1.0000         :  Maximum object rapidity
 *                 20.0000         :  Minimum object mass
 *                200.0000         :  Maximum object mass
 *                       T         :  Include further cuts
 *                       T         :  Include spin correlations
 ***************************************************** ******************
 
 ***************** 2-body decay cuts ***********************************
 *                  5.0000         :  pT(a) min
 *                  5.0000         :  pT(b) min
 *                 -2.5000         :  eta(a) min
 *                  2.5000         :  eta(a) max
 *                 -2.5000         :  eta(b) min
 *                  2.5000         :  eta(b) max
 ***********************************************************************
 
 </header>
 <init>
     2212  2212   0.251000000E+04   0.251000000E+04      0      0  247000  247000  3  1
 0.303936917E-03   0.873796564E-06   0.303936917E-03  1
 </init>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.245814075E-02 -0.150388381E-01  0.249450942E+04  0.249450960E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.608424141E+00 -0.860893215E-01 -0.250273017E+04  0.250273042E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.605966000E+00  0.101128160E+00  0.822074536E+01  0.227599853E+02  0.212145907E+02 0. 9.
               22        1    3    0    0    0 -0.675116044E+01  0.218505331E+01  0.122199050E+02  0.141307715E+02  0.276889077E-05 0. 9.
               22        1    3    0    0    0  0.735712644E+01 -0.208392515E+01 -0.399915964E+01  0.862921383E+01  0.213581000E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.299419899E-02  0.334583696E-01  0.249552834E+04  0.249552852E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.576470347E-02 -0.264788776E-02 -0.250060603E+04  0.250060621E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.277050449E-02 -0.308104818E-01  0.507768735E+01  0.238652756E+02  0.233188232E+02 0. 9.
               22        1    3    0    0    0  0.608518140E+01 -0.228834087E+01  0.124475970E+02  0.140430982E+02  0.317866603E-05 0. 9.
               22        1    3    0    0    0 -0.608795190E+01  0.225753038E+01 -0.736990962E+01  0.982217744E+01  0.264418996E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.121433949E-01  0.170901950E-02  0.250144331E+04  0.250144348E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.390774440E-01  0.494137754E-02 -0.249448899E+04  0.249448917E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.512208388E-01 -0.665039705E-02 -0.695431824E+01  0.240673481E+02  0.230406604E+02 0. 9.
               22        1    3    0    0    0  0.605207340E+01  0.195952037E+01 -0.135298215E+02  0.149506984E+02  0.332933427E-05 0. 9.
               22        1    3    0    0    0 -0.600085256E+01 -0.196617077E+01  0.657550325E+01  0.911664971E+01  0.258851656E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.607001305E-01  0.144274194E-01  0.248095199E+04  0.248095217E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.135619971E+00  0.217508182E+00 -0.250252205E+04  0.250252224E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.196320101E+00 -0.231935602E+00  0.215700599E+02  0.365255851E+02  0.294747103E+02 0. 9.
